amount,billing_cycle_day,customer_email,customer_id,customer_name,days_overdue,due_date,failure_reason,follow_up_count,items,leak_type,payment_method,retry_count,timestamp,transaction_id
2450.0,,,CUST_HIGH_001,Aarav Mehta,,,card_expired,,,failed_payment,card,0,2026-09-04T09:00:00,DEMO_HIGH_001
1875.0,,,CUST_PRICE_002,Meera Shah,,,"abandoned_cart (shipping_cost): coffee, breakfast cereal, almond milk",0,"coffee, breakfast cereal, almond milk",checkout_abandonment,online,0,2026-09-04T09:05:00,DEMO_PRICE_002
1650.0,,,CUST_RISK_003,Kabir Rao,,,"abandoned_cart (just_browsing): protein bars, juice pack",1,"protein bars, juice pack",checkout_abandonment,online,0,2026-09-04T09:10:00,DEMO_RISK_003
620.0,,,CUST_NEW_004,Nisha Iyer,,,"abandoned_cart (comparison_shopping): tea, biscuits",0,"tea, biscuits",checkout_abandonment,online,0,2026-09-04T09:15:00,DEMO_NEW_004
3200.0,,,CUST_LOYAL_005,Rohan Kapoor,,,bank_server_down,,,failed_payment,upi,0,2026-09-04T09:20:00,DEMO_LOYAL_005
80000.0,,,CUST_INV_006,Northstar Retail Pvt Ltd,34,2026-08-01T00:00:00,overdue,,,overdue_invoice,bank_transfer,0,2026-08-01T00:00:00,DEMO_INV_006
999.0,4,,CUST_SUB_007,Sana Khan,,,mandate_expired,,,failed_subscription,card,0,2026-09-04T09:25:00,DEMO_SUB_007
42000.0,,,CUST_FRAUD_008,Unknown Buyer,,,velocity_check_failed suspected_fraud,,,failed_payment,card,0,2026-09-04T09:30:00,DEMO_FRAUD_008
3183.75,,,,Ethan,,,card_expired,,,failed_payment,card,0,2026-08-01T13:30:00,TXN00150
2765.28,,,,Irya,,,card_expired,,,failed_payment,netbanking,0,2026-08-01T18:44:00,TXN00037
499,17,,,Daksha,,,mandate_expired,,,failed_subscription,upi,0,2026-08-05T00:00:00,SUB00004
999,8,,,Aarnav,,,bank_declined,,,failed_subscription,card,0,2026-08-24T00:00:00,SUB00021
2488.62,,,,Anya,,,bank_server_down,,,failed_payment,upi,0,2026-08-01T10:50:00,TXN00248
1661.44,,,,Manya,,,bank_server_down,,,failed_payment,netbanking,0,2026-08-01T14:32:00,TXN00256
1999,11,,,Deepa,,,insufficient_funds,,,failed_subscription,upi,0,2026-08-20T00:00:00,SUB00069
4728.83,,,,Ubika,,,network_error,,,failed_payment,card,0,2026-08-01T17:22:00,TXN00142
2393.75,,,,Vansha,,,bank_server_down,,,failed_payment,wallet,0,2026-08-01T10:17:00,TXN00043
